ArenaPlantation, 193.3, 1991-07-14, 1489.2, 2272.0, 1951, 56.8, 38.2, 31.3, 47.6, 85.8, 166.3, 187.1, 226.4, 182.8, 156.4, 183.5, 133.5, 158.5, 240.6, 110.6, 218.2, 308.7, 345.9, 369.1, 474.2, 339.4, 356.6, 336.1, 298.0, 
AsaWright, 204.0, 1949-09-02, 2317.8, 3369.4, 1951, 144.7, 127.8, 80.7, 65.6, 145.5, 277.0, 290.4, 295.2, 234.0, 257.7, 246.7, 242.8, 536.9, 619.6, 407.2, 476.6, 334.2, 549.9, 507.2, 472.5, 417.1, 496.3, 478.0, 498.5, 
BlanchisseusePolice, 264.2, 1932-03-01, 1966.6, 5001.6, 1932, 173.5, 108.5, 79.8, 75.3, 105.9, 227.2, 241.0, 223.8, 166.5, 166.6, 232.5, 280.7, 727.0, 608.2, 402.1, 523.4, 333.0, 675.7, 508.1, 629.4, 478.2, 537.9, 595.0, 1134.2, 
BotanicGardens, 193.3, 1991-07-14, 1489.2, 2272.0, 1951, 63.3, 42.1, 36.2, 49.2, 81.8, 166.0, 191.8, 237.3, 186.8, 157.2, 175.0, 136.8, 158.5, 240.6, 110.6, 164.4, 235.1, 315.7, 369.1, 474.2, 339.4, 356.6, 306.9, 298.0, 
BrassoParia, 169.4, 2004-09-07, 2096.5, 2939.8, 2005, 204.7, 98.1, 75.2, 77.3, 123.9, 230.1, 242.4, 260.7, 200.3, 191.2, 293.7, 254.2, 714.0, 211.6, 220.4, 265.6, 276.9, 333.7, 376.6, 443.1, 311.4, 299.8, 427.9, 543.6, 
ChathamGovernment, 205.0, 2005-11-15, 1827.4, 4135.7, 2005, 108.5, 68.9, 71.3, 70.8, 105.1, 199.6, 226.8, 202.3, 145.7, 159.1, 213.8, 168.2, 435.2, 266.2, 251.9, 261.5, 470.5, 1224.6, 1421.5, 621.2, 506.4, 623.0, 1459.0, 1099.0, 
ColumbiaEstate, 145.5, 1992-01-21, 1496.7, 2354.3, 2000, 103.8, 55.8, 51.6, 57.0, 89.1, 142.2, 178.6, 155.9, 97.1, 110.6, 154.8, 133.3, 336.3, 189.3, 222.5, 296.4, 293.6, 315.8, 371.8, 359.3, 270.8, 247.8, 341.1, 333.3, 
ConstanceEstate, 186.8, 2011-12-08, 1285.0, 1996.5, 1951, 89.1, 56.7, 55.1, 51.4, 91.3, 165.6, 168.6, 148.2, 104.0, 110.1, 135.5, 136.1, 301.9, 198.7, 277.0, 341.6, 254.0, 407.7, 452.1, 370.6, 283.1, 248.1, 257.8, 318.6, 
CumanaVillage, 152.49, 1992-09-21, 1788.2, 2660.2, 1995, 120.8, 66.1, 56.5, 61.0, 110.5, 214.0, 207.8, 199.5, 162.0, 184.2, 253.2, 209.7, 269.7, 181.2, 146.6, 173.4, 224.0, 465.2, 376.3, 450.5, 380.9, 514.7, 449.3, 454.0, 
CumutoPine, 219.1, 1993-11-21, 2579.4, 3496.6, 1974, 176.5, 104.6, 72.2, 109.1, 170.6, 318.6, 306.6, 285.4, 233.8, 291.6, 367.5, 256.7, 426.9, 293.8, 240.5, 615.6, 436.0, 681.7, 714.9, 520.7, 417.2, 613.6, 808.2, 525.8, 
ElSusanEstate, 215.0, 2015-12-13, 2525.1, 3266.1, 1984, 154.2, 90.8, 69.2, 75.2, 147.5, 306.3, 323.5, 297.5, 241.2, 279.8, 364.4, 261.5, 482.5, 297.4, 285.2, 273.0, 409.2, 556.7, 580.4, 611.3, 438.5, 572.6, 790.2, 603.8, 
FishingPond, 194.6, 1985-07-21, 1902.6, 3439.6, 2002, 82.8, 44.1, 37.2, 43.9, 96.5, 156.6, 145.7, 142.0, 130.8, 166.5, 236.7, 177.7, 335.0, 181.2, 290.6, 389.9, 494.3, 614.1, 396.7, 492.7, 648.7, 475.7, 921.3, 969.5, 
FreeportWaterworks, 133.8, 1985-08-18, 1546.2, 2094.8, 1988, 63.2, 45.1, 34.3, 51.5, 87.3, 200.9, 222.1, 201.2, 187.5, 167.1, 196.8, 124.4, 275.6, 141.4, 132.3, 348.4, 304.2, 431.4, 507.1, 369.6, 402.8, 427.4, 391.6, 220.3, 
GordonMiller, 218.44, 1971-10-23, 2144.7, 3069.4, 1996, 130.3, 84.9, 65.7, 89.1, 132.4, 226.8, 257.8, 234.1, 221.0, 257.2, 307.9, 249.6, 612.7, 238.3, 252.2, 422.7, 425.9, 399.7, 587.0, 495.7, 464.2, 725.7, 528.2, 600.9, 
GranvilleWaterworks, 216.1, 1986-08-18, 1852.3, 2412.2, 1950, 96.7, 58.9, 64.4, 60.4, 102.3, 173.8, 228.2, 206.9, 153.0, 139.1, 186.7, 137.6, 263.1, 210.6, 262.8, 261.7, 375.0, 408.8, 419.3, 496.6, 389.2, 317.1, 430.2, 327.6, 
GrosnevorEstate, 190.3, 1984-10-31, 2795.7, 3611.3, 1984, 93.5, 60.8, 44.2, 48.0, 83.4, 148.1, 146.3, 138.5, 120.2, 153.8, 195.8, 158.9, 438.7, 522.6, 267.4, 524.2, 403.1, 508.0, 545.5, 464.8, 487.3, 577.7, 727.7, 591.4, 
Hollis, 200.5, 2001-12-15, 2937.6, 3992.3, 1979, 157.3, 105.8, 84.4, 111.6, 209.7, 355.7, 354.1, 346.1, 268.2, 316.4, 363.3, 285.7, 444.4, 374.7, 236.6, 529.4, 608.2, 883.0, 682.1, 690.8, 556.6, 687.2, 707.5, 612.1, 
LaRegalada, 157.0, 1951-09-02, 1672.3, 2742.9, 1951, 72.7, 43.6, 40.2, 61.1, 90.0, 188.1, 219.9, 254.1, 196.8, 185.6, 197.7, 129.0, 334.9, 330.4, 231.3, 366.2, 492.5, 516.6, 505.6, 476.8, 364.7, 448.9, 560.4, 352.7, 
MarperFarm, 200.0, 1982-12-31, 2298.7, 3259.1, 2010, 149.9, 88.4, 70.4, 70.4, 131.7, 226.3, 230.9, 220.8, 180.9, 273.9, 331.2, 256.7, 490.0, 432.4, 466.9, 384.3, 424.0, 483.2, 461.5, 731.7, 437.2, 548.6, 678.1, 694.0, 
MatelotRestHouse, 242.1, 2000-03-25, 2402.0, 3454.9, 1951, 163.1, 109.8, 79.9, 77.6, 140.1, 265.1, 289.0, 259.5, 197.5, 240.3, 316.0, 283.6, 529.8, 544.3, 327.4, 500.4, 385.9, 584.2, 610.2, 542.9, 460.2, 669.4, 719.9, 671.0, 
MaturaPolice, 206.7, 1999-12-01, 2418.0, 3514.0, 2006, 166.0, 86.1, 75.1, 94.4, 120.6, 335.2, 272.2, 260.4, 197.6, 265.3, 380.6, 349.9, 420.6, 242.3, 180.8, 274.5, 473.3, 488.6, 645.9, 555.9, 355.3, 461.4, 641.9, 614.5, 
MelajoPlantation, 212.31, 1988-10-02, 2899.7, 3744.3, 1981, 169.0, 114.2, 75.8, 111.1, 173.2, 301.9, 298.4, 295.7, 249.9, 316.3, 406.1, 303.2, 507.5, 331.8, 190.2, 523.2, 458.2, 623.2, 459.8, 570.8, 517.6, 658.9, 851.6, 568.9, 
NavetPresbyterian, 213.36, 1985-11-30, 2423.2, 4601.1, 1985, 146.1, 93.4, 91.6, 76.3, 136.2, 285.4, 273.8, 258.8, 216.9, 242.3, 344.7, 272.0, 527.3, 309.0, 318.5, 251.0, 317.0, 577.6, 726.2, 726.7, 932.5, 738.6, 785.9, 696.1, 
Newlands, 219.46, 1963-08-31, 2542.4, 3685.5, 1970, 166.7, 99.9, 87.0, 94.7, 183.2, 305.0, 287.3, 294.2, 236.8, 271.3, 342.1, 290.2, 708.4, 397.2, 343.6, 345.4, 507.5, 603.0, 440.1, 587.8, 493.0, 688.6, 794.6, 578.9, 
OrtoireEstate, 211.7, 2012-08-12, 1862.7, 3482.1, 2014, 113.1, 72.9, 60.0, 56.5, 116.1, 214.5, 216.3, 202.0, 204.7, 218.4, 279.6, 256.5, 409.6, 282.0, 217.1, 323.0, 451.7, 462.1, 418.2, 391.7, 542.7, 519.5, 852.8, 689.3, 
PenalWaterworks, 174.9, 1995-05-28, 1551.6, 2388.7, 1998, 70.3, 46.8, 41.3, 55.5, 104.9, 190.5, 213.1, 198.5, 155.7, 167.9, 195.1, 146.0, 232.0, 196.0, 163.3, 304.4, 529.3, 412.6, 442.3, 365.4, 280.3, 382.8, 432.3, 331.4, 
PerseveranceEstate, 145.5, 1992-01-21, 1382.4, 2048.5, 1990, 58.5, 34.2, 22.7, 26.6, 89.5, 124.5, 129.2, 122.7, 80.5, 73.2, 101.4, 84.0, 192.8, 181.9, 116.8, 263.2, 382.5, 383.0, 371.8, 347.8, 252.0, 237.8, 322.1, 290.6, 
Petrotrin, 203.2, 1932-08-31, 1587.9, 2203.8, 1951, 69.0, 43.0, 41.7, 55.6, 101.4, 192.1, 220.7, 234.2, 164.6, 163.4, 178.5, 147.9, 236.7, 335.1, 217.6, 307.1, 288.5, 393.0, 385.7, 519.1, 279.9, 428.9, 353.8, 391.8, 
Piarco, 172.0, 2010-05-25, 1742.9, 2310.8, 1983, 79.7, 46.6, 31.7, 55.4, 124.2, 250.3, 240.8, 252.3, 169.5, 187.2, 233.8, 151.2, 224.3, 162.5, 114.2, 215.0, 318.2, 479.9, 410.4, 448.8, 310.5, 308.6, 411.7, 312.2, 
PointFortinWTP, 185.4, 1986-08-30, 1795.6, 2544.0, 1986, 57.1, 34.5, 38.0, 44.8, 64.8, 108.1, 155.2, 139.0, 95.5, 109.0, 131.1, 103.0, 293.5, 206.1, 274.6, 275.6, 358.6, 428.4, 457.2, 478.5, 435.6, 365.9, 438.1, 386.8, 
Pure, 171.7, 2004-01-27, 2167.6, 2586.2, 2000, 134.5, 82.9, 63.4, 71.4, 151.0, 258.8, 266.4, 238.2, 186.8, 211.2, 298.8, 225.5, 400.6, 281.9, 242.5, 233.5, 455.6, 376.3, 457.0, 411.7, 376.9, 382.8, 557.1, 440.0, 
RiverEstate, 193.8, 2003-06-30, 1627.5, 3019.4, 1984, 74.3, 46.7, 33.0, 57.8, 80.9, 151.4, 229.1, 244.3, 213.9, 179.9, 178.7, 150.6, 309.9, 156.4, 174.1, 461.0, 230.6, 378.2, 805.9, 666.0, 410.0, 403.8, 412.8, 450.2, 
SanAntonio, 204.5, 1988-12-29, 1733.7, 2475.1, 1985, 93.9, 57.2, 61.2, 61.6, 124.5, 219.1, 238.5, 208.0, 162.6, 179.5, 249.5, 207.1, 306.4, 182.5, 390.5, 260.6, 446.2, 518.2, 647.1, 420.1, 450.4, 410.5, 492.4, 486.8, 
SanAntonioEstate, 134.0, 2000-12-01, 1942.4, 2714.7, 1951, 96.4, 61.1, 48.4, 65.8, 132.7, 272.7, 260.2, 248.0, 190.4, 209.2, 246.0, 189.4, 341.3, 310.0, 213.6, 373.7, 365.9, 527.6, 455.2, 431.0, 365.0, 508.6, 394.2, 385.2, 
SanJuan, 152.4, 1959-03-01, 1877.9, 2455.0, 1998, 90.1, 58.2, 48.6, 59.8, 119.3, 245.0, 248.3, 224.6, 177.1, 191.7, 223.3, 180.8, 337.9, 259.5, 194.6, 210.5, 294.7, 468.6, 422.6, 370.9, 378.9, 445.1, 425.9, 365.7, 
SanPedroEstate, 140.5, 2009-11-28, 1910.4, 3339.5, 2012, 92.9, 55.7, 47.9, 67.2, 126.8, 264.7, 247.2, 249.3, 196.7, 206.8, 254.8, 178.7, 365.7, 237.5, 177.6, 371.7, 468.9, 439.5, 426.7, 410.8, 365.8, 438.4, 490.2, 565.9, 
SanQuintinEstate, 109.7, 2003-09-27, 1437.2, 2122.5, 2000, 69.4, 44.0, 33.7, 29.6, 62.3, 105.6, 126.6, 110.8, 73.6, 67.4, 102.3, 90.8, 279.4, 203.4, 211.5, 127.0, 269.9, 348.7, 378.3, 360.2, 264.8, 249.3, 315.1, 312.2, 
SansSouci, 182.9, 1997-06-01, 2583.8, 3759.7, 1981, 166.7, 105.7, 73.9, 98.7, 184.3, 293.6, 294.1, 284.6, 249.1, 285.3, 367.2, 266.4, 465.7, 245.1, 209.5, 594.1, 536.2, 514.0, 499.2, 534.0, 537.7, 591.3, 808.4, 575.6, 
SantaMariaEstate, 203.2, 1965-10-16, 1818.1, 2657.4, 1951, 89.7, 60.7, 42.0, 54.7, 101.0, 263.3, 244.9, 207.3, 171.5, 161.8, 207.0, 149.4, 306.7, 338.9, 167.9, 229.2, 255.4, 515.0, 431.2, 453.1, 312.4, 342.6, 403.2, 318.3, 
SinghsEstate, 181.6, 1988-10-17, 1610.1, 3002.0, 2012, 111.2, 69.6, 68.2, 80.9, 106.6, 184.2, 213.8, 203.1, 127.2, 148.5, 184.2, 162.2, 271.0, 194.4, 240.0, 300.1, 311.4, 339.7, 420.0, 382.0, 315.8, 340.0, 308.7, 400.0, 
TCLClaxtonBay, 201.0, 2004-07-31, 1457.9, 1995.9, 1964, 60.8, 36.9, 27.7, 47.6, 77.6, 169.5, 202.9, 187.1, 149.7, 150.1, 176.3, 118.6, 236.9, 205.5, 103.8, 220.5, 254.3, 411.5, 475.3, 403.0, 346.6, 395.3, 382.5, 496.9, 
TCLMayo, 161.3, 1994-10-05, 1761.7, 2287.9, 1984, 93.8, 55.6, 42.8, 62.7, 129.8, 263.3, 247.4, 218.9, 185.8, 184.3, 223.8, 164.6, 335.7, 180.7, 147.5, 260.5, 345.6, 502.5, 390.2, 396.7, 369.0, 464.0, 523.1, 415.6, 
Torrecilla, 169.4, 2004-09-07, 2096.5, 2939.8, 2005, 204.7, 98.1, 75.2, 77.3, 123.9, 230.1, 242.4, 260.7, 200.3, 191.2, 293.7, 254.2, 714.0, 211.6, 220.4, 265.6, 276.9, 333.7, 376.6, 443.1, 311.4, 299.8, 427.9, 543.6, 
TortugaEstate, 172.0, 2010-04-26, 1970.4, 2962.4, 1998, 90.1, 59.6, 49.4, 66.2, 127.9, 266.4, 267.6, 260.3, 196.5, 203.8, 253.7, 165.3, 383.7, 333.3, 278.3, 350.4, 428.5, 496.6, 499.0, 448.7, 421.4, 454.4, 512.3, 432.5, 
TrinidadLakeAsphalt, 181.6, 1988-10-17, 1442.6, 1951.3, 1998, 31.6, 17.8, 15.8, 35.4, 49.6, 79.3, 88.2, 110.6, 81.0, 79.6, 81.9, 62.4, 148.6, 110.3, 173.8, 257.2, 250.7, 339.7, 281.4, 400.4, 309.5, 327.3, 338.5, 210.5, 
UWI, 182.4, 1944-03-17, 1622.9, 2426.3, 1951, 61.7, 37.0, 32.2, 48.1, 105.8, 211.1, 215.6, 228.4, 181.0, 181.9, 200.3, 136.8, 193.2, 296.9, 205.0, 241.8, 338.3, 464.2, 385.6, 382.3, 349.6, 499.5, 419.0, 300.2, 
UWIFieldStation, 158.8, 1944-03-29, 1524.6, 2515.0, 1927, 59.5, 35.8, 29.3, 47.1, 97.8, 194.0, 206.2, 220.8, 177.8, 164.5, 188.2, 127.3, 193.9, 271.1, 205.1, 231.2, 338.3, 438.5, 389.4, 407.6, 370.8, 564.1, 380.9, 300.2, 
ValenciaRange, 226.1, 1974-09-30, 2379.2, 3645.1, 1981, 135.9, 82.5, 64.5, 100.3, 176.6, 316.5, 312.3, 287.1, 239.9, 263.5, 333.4, 248.7, 448.8, 318.6, 190.9, 664.2, 586.0, 687.9, 567.2, 724.0, 570.0, 613.6, 667.2, 576.4, 
